run,rewards,policy
0,265.68982127038726,"{1: (0.25, 1.0), 2: (1.0, 0.25), 3: (0.25, 0.0), 4: (1.0, 1.0), 5: (0.625, 0.0)}"
1,335.2282654725721,"{1: (0.25, 1.0), 2: (0.625, 1.0), 3: (0.0, 0.25), 4: (0.75, 0.875), 5: (0.0, 0.25)}"
2,332.07509634879517,"{1: (0.25, 1.0), 2: (0.75, 0.75), 3: (0.5, 1.0), 4: (1.0, 0.5), 5: (0.25, 1.0)}"
3,282.1641261327487,"{1: (0.25, 1.0), 2: (0.375, 0.0), 3: (1.0, 0.0), 4: (0.0, 1.0), 5: (0.375, 0.0)}"
4,321.96164295606474,"{1: (0.25, 1.0), 2: (0.375, 0.0), 3: (0.0, 1.0), 4: (0.0, 0.0), 5: (0.0, 0.0)}"
5,263.9611560265296,"{1: (0.25, 1.0), 2: (1.0, 0.375), 3: (0.0, 1.0), 4: (0.0, 0.0), 5: (1.0, 1.0)}"
6,307.7146122919441,"{1: (0.25, 1.0), 2: (0.0, 0.0), 3: (0.5, 0.5), 4: (1.0, 1.0), 5: (0.0, 0.0)}"
7,447.1576127700642,"{1: (0.25, 1.0), 2: (0.75, 0.625), 3: (0.0, 0.75), 4: (0.625, 0.75), 5: (0.0, 0.625)}"
8,264.48617738551735,"{1: (0.25, 1.0), 2: (0.0, 0.25), 3: (0.0, 1.0), 4: (0.0, 0.25), 5: (0.0, 1.0)}"
9,293.03090415932843,"{1: (0.25, 1.0), 2: (1.0, 1.0), 3: (1.0, 0.0), 4: (0.0, 0.5), 5: (1.0, 0.0)}"
